,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,MMM,MRY,2018-12-31,2018-12-31,2018-12-31,2019-04-26,-6866000000,36500000000,37282000000,13709000000,22791000000,0.879,16.869,-1315000000,2853000000,2853000000,16682000000,5363000000,1.892,2.721,14622000000,1211000000,13411000000,14622000000,0,1488000000,0,0.029,5.44,6986000000,8474000000,0.259,8474000000,6986000000,6986000000,9.09,8.89,9.09,9796000000,10346500000,9796000000,122609990703,18,14.469,5124000000,8.707,1.0,16083000000,0.491,12708000000,0,28317000000,28024500000,4366000000,380000000,380000000,0,26652000000,7244000000,19408000000,110948990703,-200000000,859000000,-4385000000,933000000,-3193000000,-6701000000,222000000,669000000,6439000000,-160000000,5349000000,5349000000,5349000000,0,14000000,0.163,8876000000,7207000000,2266000000,0.598,11.326,20.742,20.961,8738000000,0,190.54,3.386,3.422,5020000000,40636000000,32765000000,32765000000,1821000000,0.143,0.517,0.249,0.213,302000000,7602000000,1.0,582287135,588500000,602000000,55.675,23792000000,0,1637000000,243000000,40.971,6465000000
1,MMM,MRY,2017-12-31,2017-12-31,2017-12-31,2019-04-26,-7026000000,37987000000,35118250000,14277000000,23710000000,0.901,19.391,-1324000000,3053000000,3053000000,16055000000,4869000000,1.857,2.28,13949000000,1853000000,12096000000,13949000000,0,1544000000,0,0.02,4.7,7537000000,9081000000,0.287,9081000000,7537000000,7537000000,8.13,7.93,8.13,11563000000,11572250000,11563000000,149020280380,20,16.41,4916000000,8.228,1.0,15602000000,0.493,13449000000,0,27747000000,26182750000,4034000000,1076000000,1076000000,0,26365000000,7687000000,18678000000,140188280380,655000000,-958000000,-1334000000,1603000000,-2803000000,-2655000000,-3086000000,-798000000,6240000000,156000000,4858000000,4858000000,4858000000,0,11000000,0.153,7910000000,7692000000,1945000000,0.578,12.124,28.857,28.951,8866000000,0,235.37,4.428,4.442,4911000000,39115000000,31657000000,31657000000,1870000000,0.138,0.42,0.288,0.238,324000000,6626000000,1.0,595608108,597500000,612700000,52.982,24538000000,0,2679000000,310000000,41.15,6590000000
2,MMM,MRY,2016-12-31,2016-12-31,2016-12-31,2019-04-26,-7245000000,32906000000,33293500000,11726000000,21180000000,0.904,17.158,-1362000000,2398000000,2398000000,15118000000,5058000000,1.886,2.191,11650000000,972000000,10678000000,11650000000,0,1474000000,0,0.025,4.44,7045000000,8519000000,0.283,8519000000,7045000000,7045000000,8.35,8.16,8.35,10298000000,11481750000,10298000000,117456855227,17,13.788,5300000000,8.765,1.0,14991000000,0.498,11486000000,0,24453000000,24548500000,3385000000,280000000,280000000,0,22563000000,6219000000,16344000000,107403855227,600000000,126000000,-2949000000,1043000000,-2678000000,-4626000000,-1403000000,-163000000,6662000000,-33000000,5050000000,5050000000,5050000000,0,8000000,0.168,7964000000,7027000000,1798000000,0.532,10.43,21.268,21.386,8516000000,0,178.57,3.567,3.586,4392000000,37907000000,30109000000,30109000000,1764000000,0.152,0.44,0.287,0.234,298000000,6311000000,1.0,601466401,604700000,618700000,49.792,21420000000,0,1995000000,299000000,35.688,5507000000
3,MMM,MRY,2015-12-31,2015-12-31,2015-12-31,2019-04-26,-6359000000,32883000000,32043000000,10986000000,21897000000,0.945,18.608,-1428000000,1798000000,1798000000,15383000000,4841000000,1.543,1.874,10797000000,2044000000,8753000000,10797000000,0,1435000000,0,0.027,4.1,6815000000,8250000000,0.273,8250000000,6815000000,6815000000,7.72,7.58,7.72,11429000000,12656250000,11429000000,102398996830,15,12.412,4992000000,7.98,1.0,14891000000,0.492,11850000000,0,22914000000,23080000000,3518000000,244000000,118000000,126000000,21415000000,7118000000,14297000000,92750996830,-99000000,-2791000000,-4603000000,3482000000,-2561000000,-3648000000,-2817000000,1300000000,6420000000,-54000000,4833000000,4833000000,4833000000,0,8000000,0.16,7945000000,6946000000,1694000000,0.531,8.115,19.191,19.513,8515000000,0,150.64,3.064,3.113,4154000000,36296000000,30274000000,30274000000,1763000000,0.151,0.382,0.295,0.225,122000000,6229000000,1.0,615712937,625600000,637200000,48.392,21033000000,0,1982000000,332000000,34.245,3868000000
4,MMM,MRY,2014-12-31,2014-12-31,2014-12-31,2019-04-26,-6289000000,31209000000,32875500000,12303000000,18906000000,0.968,20.544,-1358000000,1897000000,1897000000,16447000000,4998000000,2.063,1.378,6811000000,106000000,6705000000,6811000000,0,1408000000,0,0.021,3.42,7126000000,8534000000,0.268,8534000000,7126000000,6984000000,7.63,7.49,7.63,13109000000,16021000000,13109000000,110714352117,16,12.973,5268000000,8.115,1.0,15374000000,0.483,8485000000,142000000,21674000000,21979000000,3706000000,1556000000,1439000000,117000000,18067000000,5964000000,12103000000,105299352117,-684000000,-94000000,-4684000000,1010000000,-2216000000,-6603000000,-596000000,754000000,6626000000,-111000000,4956000000,4956000000,4956000000,0,42000000,0.156,8239000000,7135000000,1807000000,0.448,8.033,21.247,21.536,8489000000,0,164.32,3.309,3.352,4238000000,34317000000,31821000000,31821000000,1770000000,0.151,0.309,0.324,0.224,113000000,6469000000,1.0,640818842,649200000,662000000,49.016,22724000000,0,2028000000,435000000,35.612,6339000000
5,MMM,MRY,2013-12-31,2013-12-31,2013-12-31,2019-04-26,-3913000000,33550000000,33828250000,12733000000,20817000000,0.913,26.185,-1537000000,2581000000,2581000000,16106000000,4721000000,1.698,0.891,6009000000,1683000000,4326000000,6009000000,0,1371000000,0,0.018,2.54,6645000000,8016000000,0.26,8016000000,6645000000,6500000000,6.83,6.72,6.83,17502000000,17814000000,17502000000,97863072480,15,12.208,4280000000,6.277,1.0,14765000000,0.478,9033000000,145000000,20447000000,21189250000,3864000000,2331000000,756000000,1575000000,15602000000,7498000000,8104000000,94426072480,-302000000,8000000,-3603000000,-37000000,-1730000000,-5246000000,-856000000,627000000,5817000000,-17000000,4659000000,4659000000,4659000000,0,62000000,0.151,8099000000,6666000000,1799000000,0.372,5.395,20.267,20.534,8652000000,0,140.25,3.059,3.098,4253000000,32416000000,30871000000,30871000000,1715000000,0.138,0.262,0.314,0.215,148000000,6384000000,1.0,673269679,681900000,693600000,45.272,24517000000,0,1841000000,417000000,36.68,5235000000
6,MMM,MRY,2012-12-31,2012-12-31,2012-12-31,2019-04-26,-4750000000,33876000000,33427250000,13630000000,20246000000,0.895,25.416,-1443000000,2883000000,2883000000,15685000000,4511000000,2.198,0.901,6001000000,1085000000,4916000000,6001000000,0,1288000000,0,0.025,2.36,6455000000,7743000000,0.259,7743000000,6455000000,6284000000,6.4,6.32,6.4,17575000000,16951750000,17575000000,67574819162,10,8.727,3857000000,5.558,1.0,14219000000,0.475,9310000000,171000000,21484000000,21462000000,3837000000,2973000000,1648000000,1325000000,15836000000,6200000000,9636000000,64245819162,664000000,-1046000000,-1192000000,722000000,-1635000000,-2058000000,-2686000000,-211000000,5300000000,108000000,4444000000,4444000000,4444000000,0,67000000,0.149,7736000000,6483000000,1762000000,0.369,3.656,14.457,14.508,8378000000,0,92.85,2.148,2.155,4061000000,30679000000,29904000000,29904000000,1634000000,0.133,0.262,0.301,0.216,161000000,6102000000,1.0,691931278,693900000,703300000,43.096,24566000000,0,1840000000,371000000,35.526,7430000000
7,MMM,MRY,2011-12-31,2011-12-31,2011-12-31,2019-04-26,-5025000000,31616000000,31785500000,12240000000,19376000000,0.932,21.988,-1324000000,2219000000,2219000000,15693000000,4357000000,2.25,1.022,5166000000,682000000,4484000000,5166000000,0,1236000000,0,0.027,2.2,6143000000,7379000000,0.249,7379000000,6143000000,5957000000,6.05,5.96,6.05,15420000000,16553000000,15420000000,60063035778,10,8.14,3960000000,5.589,1.0,13918000000,0.47,8963000000,186000000,20159000000,19455250000,3416000000,2512000000,1461000000,1051000000,15754000000,5441000000,10313000000,57280035778,-1158000000,-649000000,-1799000000,-307000000,-1555000000,-3675000000,-2718000000,-745000000,5284000000,-49000000,4283000000,4283000000,4283000000,0,74000000,0.145,7740000000,6178000000,1643000000,0.364,3.715,13.374,13.509,7666000000,0,81.73,1.934,1.956,3867000000,28348000000,29611000000,29611000000,1570000000,0.135,0.259,0.316,0.207,200000000,6170000000,1.0,700844681,708500000,719000000,41.794,22653000000,0,1674000000,355000000,32.301,6799000000
0,ABT,MRY,2018-12-31,2018-12-31,2018-12-31,2019-05-01,-7586000000,67173000000,69533250000,14632000000,52541000000,0.44,17.446,-1394000000,3844000000,3844000000,12706000000,2368000000,1.624,1.186,19566000000,207000000,19359000000,19566000000,0,3278000000,0,0.015,1.12,3733000000,7011000000,0.229,7011000000,3733000000,2907000000,1.34,1.33,1.34,30722000000,30998750000,30722000000,143224568205,38,20.429,4906000000,2.791,1.0,17872000000,0.584,42196000000,826000000,31687000000,32970000000,3796000000,1139000000,242000000,897000000,36451000000,9012000000,27439000000,127035568205,-5563000000,48000000,33000000,-8450000000,-1974000000,-10391000000,-1356000000,-58000000,6300000000,-116000000,2368000000,2368000000,2368000000,-34000000,0,0.077,14222000000,3650000000,2975000000,0.836,4.135,53.647,53.978,7563000000,0,72.33,4.154,4.158,5182000000,24560000000,30578000000,30578000000,2300000000,0.034,0.076,0.113,0.122,477000000,9744000000,1.0,1756333032,1758000000,1770000000,17.394,24977000000,1885000000,539000000,305000000,14.184,5620000000
1,ABT,MRY,2017-12-31,2017-12-31,2017-12-31,2019-05-01,-6062000000,76250000000,72634000000,20147000000,56103000000,0.377,17.79,-1135000000,9610000000,9610000000,12409000000,477000000,2.261,1.452,27924000000,714000000,27210000000,27924000000,0,3021000000,0,0.019,1.06,3259000000,6280000000,0.229,6280000000,3259000000,2355000000,0.27,0.27,0.27,31098000000,31662750000,31098000000,112349081207,34,17.89,4435000000,2.549,1.0,14981000000,0.547,45493000000,904000000,40159000000,38377750000,3601000000,883000000,0,883000000,45152000000,8912000000,36240000000,99336081207,-9213000000,-8437000000,233000000,-2942000000,-1849000000,-5281000000,-9618000000,-81000000,5570000000,116000000,477000000,477000000,477000000,-124000000,0,0.017,13417000000,1564000000,2402000000,3.926,3.194,208.252,211.37,7607000000,0,57.07,3.627,3.625,5249000000,23978000000,27390000000,27390000000,2260000000,0.007,0.015,0.085,0.119,406000000,9182000000,1.0,1740600687,1740000000,1749000000,15.741,30757000000,1944000000,1878000000,309000000,17.595,11235000000
